fold_1,fold_2,fold_3,fold_4,fold_5
2018,1908,1958,2391,2162
2019,1910,1964,2395,2168
2025,1911,1977,2397,2177
2026,1913,1996,2402,2179
2042,1917,2007,2405,2180
2052,1921,2013,2406,2183
2057,1924,2032,2417,2189
2064,1927,2036,2418,2202
2067,1929,2040,2426,2203
2069,1935,2047,2434,2211
2072,1937,2051,2435,2220
2080,1940,2053,2437,2226
2083,1946,2055,2450,2229
2101,1948,2060,2457,2231
2106,1949,2061,2458,2238
2122,1952,2062,2459,2240
2123,1954,2063,2462,2243
2124,1955,2070,2463,2249
2128,1957,2076,2465,2273
2131,1960,2077,2468,2274
2132,1973,2078,2470,2279
2133,1984,2084,2475,2280
2136,1987,2086,2481,2286
2137,1989,2087,2482,2290
2144,1993,2088,2486,2294
2151,1994,2092,2499,2301
2157,1997,2093,2505,2308
2161,1998,2094,2511,2313
2169,1999,2095,2512,2319
2175,2000,2096,2513,2321
2193,2006,2097,2514,2324
2197,2008,2098,2515,2326
2209,2011,2099,2524,2328
2210,2012,2100,2528,2337
2214,2015,2109,2531,2341
2217,2016,2110,2532,2345
2221,2024,2111,2533,2351
2223,2031,2112,2534,2353
2224,2039,2113,2536,2354
2228,2056,2115,2540,2363
2236,2104,2117,2554,2365
2237,2105,2127,2556,2366
2244,2108,2129,2569,2367
2247,2114,2134,2571,2368
2257,2118,2143,2572,2370
2263,2119,2145,2574,2373
2264,2142,2146,2575,2377
2266,2154,2147,2578,2382
2267,2165,2148,2579,2383
2269,2166,2152,2583,2384
2283,2167,2156,2586,2385
2284,2170,2159,2588,2386
2288,2171,2160,2591,2388
2292,2174,2178,2594,2398
2296,2185,2184,2595,2411
2298,2188,2187,2610,2412
2299,2200,2190,2611,2414
2304,2201,2192,2622,2419
2320,2204,2194,2623,2423
2327,2207,2195,2627,2424
2331,2208,2206,2638,2428
2348,2212,2213,2641,2429
2349,2216,2215,2644,2430
2350,2222,2219,2659,2432
2359,2227,2235,2661,2433
2360,2232,2239,2680,2441
2361,2233,2241,2684,2442
2369,2234,2248,2685,2443
2374,2242,2252,2686,2444
2393,2245,2254,2699,2452
2394,2246,2261,2700,2454
2410,2251,2268,2703,2455
2416,2255,2271,2709,2460
2422,2258,2272,2716,2467
2431,2259,2278,2717,2469
2438,2262,2287,2725,2471
2440,2275,2293,2726,2472
2466,2282,2297,2727,2474
2478,2295,2310,2729,2491
2484,2300,2315,2730,2496
2485,2302,2318,2734,2504
2487,2303,2323,2737,2510
2489,2306,2335,2741,2525
2492,2307,2342,2745,2527
2493,2309,2343,2746,2530
2495,2314,2347,2756,2535
2500,2317,2362,2757,2541
2501,2322,2364,2760,2542
2503,2325,2371,2765,2548
2507,2330,2387,2767,2550
2508,2332,2389,2782,2555
2509,2334,2392,2789,2558
2517,2338,2396,2792,2568
2518,2340,2400,2793,2577
2520,2344,2407,2794,2585
2526,2352,2409,2795,2593
2529,2355,2413,2801,2599
2539,2356,2415,2804,2603
2543,2358,2420,2807,2608
2545,2372,2425,2811,2609
2552,2376,2427,2820,2612
2570,2378,2445,2826,2615
2576,2380,2448,2832,2618
2581,2399,2449,2839,2624
2582,2401,2461,2842,2629
2584,2403,2473,2849,2633
2597,2404,2476,2856,2634
2602,2408,2494,2900,2639
2604,2421,2497,2904,2645
2606,2436,2519,2914,2650
2614,2439,2521,2916,2651
2617,2446,2522,2917,2652
2632,2447,2523,2919,2654
2640,2451,2537,2926,2656
2646,2453,2538,2931,2657
2647,2456,2547,2932,2663
2649,2464,2561,2953,2664
2660,2477,2564,2957,2666
2662,2479,2566,2958,2667
2665,2480,2587,2960,2673
2671,2483,2589,2962,2675
2682,2488,2590,2966,2677
2687,2490,2596,2969,2678
2702,2498,2600,2970,2679
2704,2502,2607,2973,2681
2723,2506,2613,2974,2683
2732,2516,2616,2976,2688
2761,2544,2619,2977,2689
2763,2546,2621,2978,2692
2766,2549,2626,2980,2697
2769,2551,2628,2981,2698
2771,2553,2635,2982,2701
2772,2557,2653,2989,2706
2774,2559,2668,2992,2708
2775,2560,2669,2994,2711
2778,2562,2670,3001,2713
2779,2563,2672,3002,2715
2780,2565,2674,3014,2721
2783,2567,2691,3017,2722
2784,2573,2705,3018,2728
2786,2580,2712,3019,2735
2796,2592,2719,3021,2740
2797,2598,2724,3026,2747
2805,2601,2733,3034,2748
2812,2605,2736,3036,2751
2814,2620,2743,3042,2752
2816,2625,2750,3043,2753
2819,2630,2758,3052,2754
2823,2631,2759,3054,2755
2831,2636,2776,3055,2762
2836,2637,2777,3059,2768
2837,2642,2788,3060,2770
2840,2643,2790,3069,2773
2845,2648,2791,3074,2781
2853,2655,2806,3075,2785
2854,2658,2818,3076,2798
2855,2676,2821,3093,2800
2859,2690,2827,3094,2803
2862,2693,2841,3098,2813
2864,2694,2846,3102,2825
2878,2695,2857,3103,2829
2890,2696,2858,3110,2830
2891,2707,2865,3114,2833
2895,2710,2871,3128,2834
2908,2714,2873,3129,2838
2921,2718,2880,3130,2843
2928,2720,2884,3131,2850
2940,2731,2888,3134,2851
2959,2738,2889,3143,2860
2975,2739,2892,3149,2861
2983,2742,2893,3157,2867
2988,2744,2894,3175,2868
2996,2749,2897,3188,2870
3009,2764,2898,3195,2872
3010,2787,2901,3196,2874
3011,2799,2902,3198,2875
3012,2802,2910,3199,2876
3023,2808,2913,3202,2877
3051,2809,2915,3211,2879
3058,2810,2922,3213,2881
3079,2815,2923,3224,2882
3082,2817,2927,3230,2886
3085,2822,2934,3238,2887
3088,2824,2938,3241,2899
3091,2828,2941,3242,2903
3096,2835,2942,3244,2906
3099,2844,2950,3245,2911
3100,2847,2965,3247,2912
3101,2848,2967,3248,2918
3111,2852,2997,3251,2920
3121,2863,3005,3254,2924
3123,2866,3024,3255,2925
3133,2869,3029,3260,2930
3135,2883,3031,3261,2933
3155,2885,3039,3264,2935
3160,2896,3044,3268,2936
3161,2905,3050,3274,2939
3162,2907,3053,3276,2943
3170,2909,3068,3277,2944
3183,2929,3070,3278,2945
3184,2937,3072,3284,2947
3212,2946,3073,3302,2955
3216,2948,3084,3303,2956
3220,2949,3086,3307,2961
3221,2951,3087,3313,2963
3222,2952,3089,3322,2968
3223,2954,3090,3323,2971
3233,2964,3092,3327,2972
3239,2984,3107,3329,2979
3240,2985,3119,3330,2998
3246,2986,3124,3334,3000
3270,2987,3125,3338,3008
3280,2990,3136,3339,3013
3293,2991,3141,3340,3020
3295,2993,3144,3343,3025
3298,2995,3145,3344,3027
3308,2999,3150,3349,3028
3312,3003,3151,3350,3030
3314,3004,3159,3356,3032
3318,3006,3166,3358,3033
3319,3007,3168,3360,3035
3320,3015,3176,3367,3038
3325,3016,3179,3370,3040
3331,3022,3189,3372,3041
3335,3037,3192,3373,3045
3341,3047,3200,3376,3046
3347,3057,3205,3380,3048
3355,3061,3210,3381,3049
3357,3063,3235,3382,3056
3363,3064,3237,3395,3062
3368,3065,3257,3396,3067
3369,3066,3262,3404,3083
3374,3071,3265,3406,3105
3386,3077,3279,3407,3106
3390,3078,3281,3409,3108
3392,3080,3291,3410,3109
3399,3081,3299,3420,3112
3402,3095,3321,3425,3113
3403,3097,3324,3427,3116
3405,3104,3326,3431,3120
3412,3115,3328,3445,3127
3413,3117,3351,3460,3132
3414,3118,3353,3462,3137
3415,3122,3354,3466,3139
3421,3126,3364,3474,3142
3422,3138,3371,3480,3148
3424,3140,3384,3491,3153
3426,3146,3385,3492,3154
3432,3147,3387,3493,3156
3433,3152,3389,3497,3158
3435,3163,3397,3500,3165
3436,3164,3418,3502,3167
3439,3169,3419,3524,3171
3442,3173,3423,3527,3172
3443,3178,3434,3531,3174
3446,3182,3444,3532,3177
3453,3187,3450,3537,3180
3454,3190,3463,3539,3181
3456,3194,3467,3542,3185
3457,3197,3472,3543,3186
3465,3204,3473,3547,3191
3468,3214,3485,3549,3193
3471,3218,3490,3550,3201
3477,3219,3496,3558,3203
3478,3225,3498,3560,3206
3479,3228,3508,3562,3207
3482,3229,3509,3564,3208
3483,3250,3510,3565,3209
3494,3252,3512,3575,3215
3504,3253,3517,3576,3217
3506,3258,3520,3581,3226
3507,3263,3521,3595,3227
3516,3275,3525,3609,3231
3541,3282,3534,3621,3232
3548,3283,3535,3625,3234
3556,3287,3536,3632,3236
3557,3288,3552,3634,3243
3561,3290,3579,3640,3249
3567,3294,3580,3644,3256
3577,3296,3593,3646,3259
3588,3297,3594,3649,3266
3589,3300,3598,3650,3267
3591,3301,3619,3664,3269
3592,3304,3629,3670,3271
3600,3305,3661,3677,3272
3603,3306,3667,3678,3273
3604,3309,3668,3680,3285
3605,3316,3673,3681,3286
3606,3336,3676,3684,3289
3607,3346,3687,3692,3292
3613,3352,3688,3693,3310
3614,3359,3690,3697,3311
3615,3365,3699,3702,3315
3616,3391,3711,3706,3317
3617,3393,3712,3707,3332
3618,3417,3713,3709,3333
3620,3430,3717,3715,3337
3626,3438,3719,3734,3342
3627,3440,3721,3735,3345
3628,3441,3722,3737,3348
3635,3448,3724,3738,3361
3636,3455,3729,3739,3362
3637,3459,3730,3741,3366
3638,3484,3731,3742,3375
3639,3486,3746,3745,3377
3645,3487,3748,3747,3378
3647,3488,3750,3753,3379
3651,3499,3756,3755,3383
3652,3501,3763,3760,3388
3654,3514,3767,3761,3394
3655,3522,3776,3762,3398
3659,3526,3777,3764,3400
3666,3538,3799,3765,3401
3675,3544,3806,3766,3408
3679,3545,3815,3769,3411
3683,3546,3817,3771,3416
3685,3551,3819,3773,3428
3689,3559,3832,3774,3429
3694,3566,3834,3779,3437
3695,3568,3835,3780,3447
3696,3569,3839,3782,3449
3698,3572,3840,3784,3451
3703,3573,3847,3785,3452
3704,3574,3849,3786,3458
3710,3582,3859,3787,3461
3714,3584,3863,3789,3464
3716,3590,3864,3800,3469
3723,3596,3865,3807,3470
3725,3601,3868,3810,3475
3727,3602,3869,3812,3476
3728,3608,3872,3818,3481
3732,3610,3881,3831,3489
3733,3611,3883,3860,3495
3749,3612,3884,3867,3503
3754,3630,3887,3893,3505
3757,3631,3892,3895,3511
3778,3633,3898,3900,3513
3781,3641,3910,3904,3515
3790,3642,3911,3916,3518
3791,3653,3912,3920,3519
3792,3662,3919,3922,3523
3793,3663,3921,3925,3528
3794,3669,3924,3933,3529
3795,3671,3928,3946,3530
3802,3672,3929,3949,3533
3804,3674,3937,3956,3540
3805,3682,3941,3960,3553
3808,3691,3948,3975,3554
3813,3701,3963,3978,3555
3825,3705,3964,3983,3563
3826,3720,3972,3991,3570
3827,3736,3981,4002,3571
3828,3740,3987,4003,3578
3829,3743,4013,4006,3583
3833,3744,4017,4014,3585
3843,3751,4018,4041,3586
3846,3768,4024,4043,3587
3851,3783,4026,4103,3597
3853,3796,4030,4131,3599
3854,3797,4033,4133,3622
3866,3798,4035,4140,3623
3874,3803,4045,4144,3624
3875,3814,4049,4148,3643
3876,3820,4052,4155,3648
3877,3821,4054,4160,3656
3880,3822,4059,4164,3657
3885,3824,4066,4169,3658
3897,3830,4071,4186,3660
3902,3837,4073,4188,3665
3903,3838,4074,4191,3686
3908,3841,4078,4196,3700
3909,3844,4080,4201,3708
3930,3848,4090,4203,3718
3932,3858,4095,4204,3726
3934,3861,4097,4205,3752
3953,3862,4102,4209,3758
3954,3870,4113,4210,3759
3955,3871,4114,4214,3770
3959,3879,4116,4216,3772
3968,3889,4117,4229,3775
3971,3894,4123,4233,3788
3973,3901,4125,4234,3801
3977,3906,4129,4237,3809
3982,3907,4138,4238,3811
3984,3914,4139,4241,3816
3985,3915,4147,4242,3823
3989,3917,4150,4243,3836
3999,3918,4152,4244,3842
4009,3923,4163,4257,3845
4015,3926,4166,4258,3850
4021,3931,4172,4259,3852
4032,3935,4179,4260,3855
4036,3936,4193,4261,3856
4039,3938,4199,4262,3857
4040,3939,4202,4266,3873
4046,3940,4215,4267,3878
4048,3943,4223,4272,3882
4051,3944,4225,4273,3886
4061,3945,4228,4275,3888
4067,3947,4231,4279,3890
4069,3950,4235,4287,3891
4081,3951,4236,4289,3896
4084,3962,4252,4293,3899
4086,3967,4256,4296,3905
4089,3970,4277,4297,3913
4093,3976,4286,4299,3927
4094,3979,4292,4302,3942
4096,3980,4295,4308,3952
4104,3986,4303,4314,3957
4105,3988,4305,4317,3958
4107,3992,4306,4325,3961
4109,3994,4309,4328,3965
4110,3996,4312,4331,3966
4112,3997,4315,4333,3969
4126,4000,4320,4337,3974
4128,4001,4326,4339,3990
4132,4004,4332,4340,3993
4135,4005,4349,4341,3995
4145,4007,4352,4343,3998
4154,4008,4353,4357,4012
4162,4010,4356,4359,4016
4165,4011,4360,4364,4019
4170,4023,4362,4366,4020
4177,4028,4365,4369,4022
4181,4029,4373,4372,4025
4194,4031,4379,4375,4027
4218,4034,4391,4376,4038
4220,4037,4395,4378,4042
4221,4057,4398,4381,4044
4222,4062,4403,4383,4047
4239,4063,4404,4385,4050
4246,4064,4405,4387,4053
4247,4070,4409,4396,4055
4249,4076,4411,4397,4056
4250,4079,4417,4400,4058
4254,4083,4419,4408,4060
4270,4087,4432,4410,4065
4283,4088,4434,4413,4068
4285,4091,4440,4421,4072
4298,4092,4444,4422,4075
4300,4099,4448,4424,4077
4321,4100,4449,4427,4082
4324,4101,4450,4428,4085
4327,4115,4453,4433,4098
4329,4119,4454,4435,4106
4342,4124,4456,4458,4108
4345,4136,4457,4459,4111
4346,4137,4460,4468,4118
4350,4141,4461,4474,4120
4355,4146,4462,4478,4121
4367,4149,4463,4481,4122
4368,4156,4464,4482,4127
4377,4158,4465,4489,4130
4406,4159,4466,4490,4134
4423,4161,4467,4491,4142
4437,4167,4472,4494,4143
4452,4168,4473,4504,4151
4470,4171,4480,4505,4153
4476,4173,4485,4507,4157
4483,4174,4496,4510,4190
4484,4175,4498,4512,4224
4492,4176,4519,4513,4230
4495,4178,4520,4518,4232
4497,4180,4521,4524,4245
4500,4182,4528,4531,4253
4501,4183,4530,4535,4255
4503,4184,4532,4546,4264
4506,4185,4533,4551,4268
4511,4187,4538,4563,4269
4516,4189,4539,4573,4271
4523,4192,4543,4585,4274
4525,4195,4548,4589,4276
4536,4197,4565,4596,4278
4542,4198,4580,4600,4280
4544,4200,4588,4603,4284
4552,4206,4594,4607,4290
4553,4207,4598,4615,4291
4554,4208,4608,4626,4304
4561,4211,4611,4627,4307
4562,4212,4612,4628,4311
4566,4213,4616,4636,4316
4567,4217,4624,4637,4318
4571,4219,4632,4647,4319
4572,4226,4635,4653,4323
4591,4227,4640,4657,4334
4597,4240,4644,4660,4348
4613,4248,4649,4661,4354
4629,4251,4650,4662,4361
4630,4263,4651,4668,4363
4633,4265,4652,4669,4374
4672,4281,4654,4670,4380
4675,4282,4658,4671,4382
4680,4288,4659,4676,4384
4681,4294,4665,4678,4386
4690,4301,4673,4679,4388
4693,4310,4685,4682,4389
4703,4313,4689,4683,4394
4704,4322,4697,4691,4401
4709,4330,4698,4695,4402
4712,4335,4702,4699,4415
4727,4336,4705,4713,4420
4730,4338,4707,4716,4425
4734,4344,4708,4720,4438
4741,4347,4711,4722,4439
4752,4351,4717,4723,4445
4766,4358,4721,4724,4446
4777,4370,4726,4729,4455
4778,4371,4736,4733,4469
4780,4390,4739,4743,4471
4781,4392,4745,4748,4475
4796,4393,4746,4749,4477
4802,4399,4753,4751,4479
4828,4407,4755,4754,4486
4830,4412,4758,4756,4487
4831,4414,4762,4761,4499
4834,4416,4765,4768,4502
4837,4418,4773,4769,4508
4838,4426,4779,4775,4514
4842,4429,4786,4782,4522
4848,4430,4792,4783,4527
4857,4431,4803,4784,4529
4860,4436,4805,4785,4534
4873,4441,4807,4794,4537
4881,4442,4808,4795,4540
4883,4443,4809,4798,4541
4889,4447,4813,4804,4545
4898,4451,4814,4810,4547
4901,4488,4817,4816,4549
4902,4493,4818,4820,4555
4910,4509,4826,4822,4556
4915,4515,4835,4827,4557
4920,4517,4840,4829,4558
4924,4526,4843,4832,4559
4929,4550,4845,4833,4560
4931,4569,4847,4839,4564
4943,4570,4851,4846,4568
4953,4575,4853,4849,4574
4961,4586,4856,4852,4576
4972,4592,4858,4855,4577
4975,4593,4863,4861,4578
4978,4595,4865,4862,4579
4980,4604,4866,4864,4581
4983,4606,4869,4867,4582
4984,4609,4871,4868,4583
4993,4610,4872,4875,4584
4995,4614,4874,4876,4587
5012,4620,4877,4878,4590
5018,4638,4880,4882,4599
5021,4641,4890,4885,4601
5035,4646,4891,4886,4602
5036,4687,4892,4900,4605
5037,4696,4896,4903,4617
5042,4700,4897,4912,4618
5044,4701,4899,4914,4619
5045,4710,4904,4919,4621
5049,4725,4905,4922,4622
5052,4728,4906,4926,4623
5057,4731,4907,4930,4625
5065,4735,4913,4933,4631
5079,4737,4918,4938,4634
5086,4738,4932,4944,4639
5089,4740,4934,4945,4642
5090,4747,4939,4946,4643
5092,4750,4941,4947,4645
5111,4757,4948,4950,4648
5114,4759,4951,4952,4655
5137,4764,4958,4962,4656
5140,4767,4959,4964,4663
5153,4770,4966,4965,4664
5154,4771,4967,4969,4666
5172,4772,4973,4971,4667
5175,4774,4981,4979,4674
5184,4776,4986,4982,4677
5198,4787,4988,4987,4684
5199,4788,4989,4997,4686
5203,4790,4990,4998,4688
5206,4793,5001,5000,4692
5221,4799,5009,5004,4694
5226,4815,5019,5006,4706
5234,4819,5022,5008,4714
5239,4821,5027,5011,4715
