metro_distance,bus_distance,university_distance
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
0.9973,13.5763,9.5141
2.5444,7.603,12.2336
2.5444,7.603,12.2336
2.5444,7.603,12.2336
2.5444,7.603,12.2336
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
1.3657,6.1127,11.2128
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
0.5992,7.3012,10.8417
3.6269,16.5518,11.6525
3.6269,16.5518,11.6525
2.2078,16.88,10.3889
2.2078,16.88,10.3889
1.722,13.3825,11.2277
1.722,13.3825,11.2277
1.722,13.3825,11.2277
2.8367,5.8871,7.9782
2.8367,5.8871,7.9782
2.8367,5.8871,7.9782
2.8367,5.8871,7.9782
2.8367,5.8871,7.9782
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
0.9753,0.9453,6.4718
0.9753,0.9453,6.4718
0.9753,0.9453,6.4718
0.4888,12.819,9.8806
0.4888,12.819,9.8806
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
1.8234,7.6424,11.8411
10.259,24.0618,22.1904
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
4.2123,10.5526,16.4365
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
0.1946,10.4748,5.1319
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
2.6704,5.8755,8.1398
10.7854,26.1003,19.0802
10.7854,26.1003,19.0802
10.7854,26.1003,19.0802
10.7854,26.1003,19.0802
10.7854,26.1003,19.0802
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
1.6968,6.5002,11.9529
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
0.7402,12.3111,1.6615
4.1012,10.4936,16.3148
0.1431,13.0491,9.8495
0.1431,13.0491,9.8495
0.1431,13.0491,9.8495
9.9038,25.2186,18.2106
9.9038,25.2186,18.2106
9.9038,25.2186,18.2106
3.936,15.6895,10.0079
3.936,15.6895,10.0079
3.936,15.6895,10.0079
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.1768,13.6904,9.4971
1.6425,5.2201,9.3407
1.6425,5.2201,9.3407
2.5895,6.2773,8.2964
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
2.4196,7.4636,12.0778
3.394,16.57,14.4296
3.394,16.57,14.4296
3.394,16.57,14.4296
0.8617,5.9419,9.5151
0.8617,5.9419,9.5151
0.8617,5.9419,9.5151
0.9666,5.8557,9.3746
0.9666,5.8557,9.3746
2.5444,7.603,12.2336
2.5444,7.603,12.2336
4.2082,15.8644,9.9737
4.2082,15.8644,9.9737
4.2082,15.8644,9.9737
1.7726,13.4529,11.3037
1.7726,13.4529,11.3037
1.7726,13.4529,11.3037
1.7726,13.4529,11.3037
1.7726,13.4529,11.3037
4.0422,15.8788,10.3049
4.0422,15.8788,10.3049
4.0422,15.8788,10.3049
4.0422,15.8788,10.3049
4.0422,15.8788,10.3049
4.2622,15.9102,9.994
4.2622,15.9102,9.994
4.2622,15.9102,9.994
0.7935,6.0532,8.8307
0.7935,6.0532,8.8307
0.7935,6.0532,8.8307
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
2.8163,5.9479,8.0061
2.8163,5.9479,8.0061
2.8163,5.9479,8.0061
2.8163,5.9479,8.0061
2.8163,5.9479,8.0061
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
1.9311,9.0659,14.1619
1.9311,9.0659,14.1619
0.9968,6.8446,11.8436
2.5554,6.2278,8.3151
2.5554,6.2278,8.3151
2.5554,6.2278,8.3151
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.8569,5.0058,9.2103
1.5592,14.408,11.4107
1.5592,14.408,11.4107
1.5592,14.408,11.4107
1.5592,14.408,11.4107
1.5592,14.408,11.4107
1.5592,14.408,11.4107
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
1.0515,13.7453,9.6629
2.7725,5.902,8.0428
2.7725,5.902,8.0428
2.7725,5.902,8.0428
2.7725,5.902,8.0428
2.7725,5.902,8.0428
0.7766,6.1329,9.4547
2.6256,5.9904,8.1979
2.6256,5.9904,8.1979
2.6256,5.9904,8.1979
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
7.0709,14.0689,19.5909
8.9588,21.5167,15.1242
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
0.2131,6.6577,10.0063
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
4.1647,11.1294,16.7075
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
9.5122,24.8425,17.8174
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.6696,0.4817,9.8282
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
0.2819,8.8714,1.6544
11.011,26.2855,19.3211
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
0.9034,13.8999,6.7489
2.1413,5.0272,8.126
2.1413,5.0272,8.126
2.1413,5.0272,8.126
2.1413,5.0272,8.126
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
15.4204,28.0618,21.2152
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
4.0361,10.9558,16.5782
